id,host_id,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,name,host_name,neighbourhood_group,neighbourhood,room_type
9138664,47594947,40.74271,-73.92493,74,2,6,2019-05-26,0.13,1,5,Private Lg Room 15 min to Manhattan,Iris,Queens,Sunnyside,Private room
31444015,8523790,40.76682,-73.98878,170,3,0,,,1,188,"TIME SQUARE CHARMING ONE BED IN HELL'S KITCHEN,NYC",Johlex,Manhattan,Hell's Kitchen,Entire home/apt
8741020,45854238,40.73631,-74.00610999999999,245,3,51,2018-09-19,1.12,1,0,Voted #1 Location Quintessential 1BR W Village Apt,John,Manhattan,West Village,Entire home/apt
34602077,261055465,40.76424,-73.92351,125,3,1,2019-05-24,0.65,1,13,Spacious 1 bedroom apartment 15min from Manhattan,Regan,Queens,Astoria,Entire home/apt
23203149,143460,40.69839,-73.92044,65,2,8,2019-06-23,0.52,2,8,Big beautiful bedroom in huge Bushwick apartment,Megan,Brooklyn,Bushwick,Private room
4402805,22807362,40.66025,-73.9627,120,3,3,2018-08-28,0.05,1,16,LRG 2br BKLYN APT CLOSE TO TRAINS AND PARK,Jenny,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt
30070126,4968673,40.76831,-73.95929,200,5,2,2019-05-26,0.68,1,71,✩Prime Renovated 1/1 Apartment in Upper East Side✩,Sean,Manhattan,Upper East Side,Entire home/apt
34231172,59642348,40.6455,-74.01262,95,1,9,2019-07-08,9.0,1,106,Fully renovated brick house floor in Brooklyn,Kevin,Brooklyn,Sunset Park,Entire home/apt
5856760,29408349,40.7149,-73.99976,179,5,7,2017-04-18,0.14,1,0,"Renovated 1BR in exciting, convenient area",Chad,Manhattan,Chinatown,Entire home/apt
7929441,1453898,40.71268,-73.96676,105,2,232,2019-06-19,5.0,3,64,Beautiful Loft w/ Waterfront View!,Anthony,Brooklyn,Williamsburg,Private room
35468220,7599704,40.72085,-73.84088,75,1,0,,,1,7,Forest Hills Charming 1 bdrm apartment!,Sasha,Queens,Forest Hills,Entire home/apt
18340498,33723491,40.65274,-73.95848000000001,39,2,7,2017-09-29,0.27,1,0,Private bedroom and bathroom near Prospect Park,Suzzanne,Brooklyn,Flatbush,Private room
34760,149929,40.69101,-73.97312,44,8,27,2019-06-29,1.05,5,280,Sunny Room in Old Historical Brooklyn Townhouse,Obed,Brooklyn,Fort Greene,Private room
15982208,103841276,40.69891,-73.93072,45,1,158,2019-06-25,4.93,2,201,"Huge Yellow Room- AC, 20 Min to Manhattan",Cristina And Sasha,Brooklyn,Bushwick,Private room
14994076,310670,40.88207,-73.83538,299,2,2,2019-05-21,0.18,13,358,Dominiques NYC 4Bedrm crashpad**Stay here**metro,Vie,Bronx,Eastchester,Entire home/apt
7126110,37325763,40.72393,-73.98271,100,1,0,,,1,0,Sunny East Village Bedroom,Noah,Manhattan,East Village,Private room
35005489,229604812,40.65863,-73.98495,300,3,0,,,1,335,Exquisite Park Slope Paradise,Jake,Brooklyn,Windsor Terrace,Entire home/apt
22702906,6291509,40.6876,-73.98472,160,4,4,2018-09-26,0.3,1,14,Cozy Brownstone Brooklyn Studio Near Subway!!,Daniel,Brooklyn,Boerum Hill,Entire home/apt
25015496,189108951,40.669540000000005,-73.80601,93,2,48,2019-06-22,3.47,1,316,"5min from JFK airport, Train, Casino,  Racetrack",Doris,Queens,South Ozone Park,Entire home/apt
7074488,43772,40.72074,-73.94740999999999,272,3,3,2015-08-31,0.06,1,0,"Bilevel Penthouse: Park, City Views",David,Brooklyn,Greenpoint,Entire home/apt
34432701,20012998,40.68087,-73.92061,60,3,3,2019-06-30,2.31,2,322,THE STUDIO LODGE NYC,Víctor,Brooklyn,Bedford-Stuyvesant,Private room
15971308,1301576,40.80604,-73.94233,85,3,97,2019-06-24,3.07,2,14,Private Room with Private Bathroom in Harlem,Siobhan,Manhattan,East Harlem,Private room
22078755,50292311,40.72837,-73.98546,250,4,17,2019-05-28,1.1,1,5,Bohemian East Village Apartment,Brian,Manhattan,East Village,Entire home/apt
27454297,119669058,40.69322,-73.95519,36,3,12,2019-06-19,1.06,34,361,Brooklyn Style Hostel RM4 #1,Melissa,Brooklyn,Bedford-Stuyvesant,Shared room
19382104,25064774,40.68936,-73.94189,33,14,1,2017-07-16,0.04,1,0,Stylish Share With Exposed Brick In Brooklyn,Eden,Brooklyn,Bedford-Stuyvesant,Private room
8953404,45416627,40.76801,-73.92501,55,1,78,2019-06-20,1.78,9,311,LARGE BEDROOM CLOSE TO MANHATTAN,Lolita,Queens,Astoria,Private room
